Input.post,Input.targetMinority,Input.Generated_1,Input.Generated_2,Input.Generated_3,Input.Generated_4,Answer.gen_1_statement_correct,Answer.gen_2_statement_correct,Answer.gen_3_statement_correct,Answer.gen_4_statement_correct,Input.Model_1,Input.Model_2,Input.Model_3,Input.Model_4,Input.Task
What was the best part about being black in the 50's? You could sit in the back of the bus and masturbate and nobody would notice,"[""black folks""]",black people are less than,The best part about being black in the 50's was that you could sit in the back of the bus and masturbate and nobody would notice,The stereotype communicated by this sentence is that black people are sexual beings who are not to be taken seriously,The best part about being black in the 50's was that you could masturbate and nobody would notice,,,,,,,,,sbic
What is the similarity between a women and a remote? They will work if u hit them,"[""assault victims"", ""women""]",The stereotype communicated is that women are objects to be controlled,abusing women is funny,women are not good workers,"Women are perceived as objects that need to be physically coerced into functioning properly, perpetuating the harmful stereotype of gender-based violence",,,,,,,,,sbic
"I think its wrong to refer to a negro as ""boy"" That implies they are people.","[""black folks""]",Black people are often infantilized and not seen as fully grown adults,are men,The stereotype communicated is that African Americans are inferior and subservient,are not equal,,,,,,,,,sbic
My humour is so dark that cops are beating it,"[""assault victims"", ""black folks""]",are beat by the police,"Dark humor enthusiasts are often seen as edgy and controversial, pushing the boundaries of what is socially acceptable",Police officers are often seen as having a serious and stern demeanor,black folks are sexist,,,,,,,,,sbic
Females are far more likely to loudly boast about their mental problems for attention while men commit four times as many suicides,"[""women"", ""women, trans women""]",The stereotype that this sentence communicates is that women are more likely to loudly boast about their mental problems for attention while men commit four times as many suicides,The stereotype that females are more likely to boast about their mental problems for attention while males commit four times as many suicides is a common one,women are proud of their mental problems,The stereotype communicated by this sentence is that females are more likely to loudly boast about their mental problems for attention while men commit four times as many suicides,,,,,,,,,sbic
"Secret Language During the holocaust the Jews had a secret language they used to speak... it went something like this, ""OH MY GOD! I'M BURNING ALIVE""","[""jewish folks"", ""terrorism victims""]",The stereotype that this sentence communicates is that Jews are weak and helpless,The stereotype that this sentence communicates is that Jews are sneaky and use their own secret language to communicate with each other,jewish people are a joke,all jews were killed,,,,,,,,,sbic
Why didn't the black man cross the road Because he couldn't get out of my basement,"[""black folks""]",black folks are lazy,black folks are inferior,The stereotype communicated by this sentence is that black people are lazy,This sentence communicates the stereotype that black people are stupid and/or subservient to white people,,,,,,,,,sbic
"What goes up a hill faster: a black guy or a truck? The black guy, because he had chains","[""black folks""]",black folks are slaves,black folks are inferior,This sentence communicates the stereotype that black people are physically strong and capable of performing manual labor,African Americans are assumed to be physically stronger than vehicles,,,,,,,,,sbic
Why did the feminist jump off the building? She was trying to equalize the suicide rates,"[""Feminists"", ""feminists"", ""women""]",Women are often seen as weaker and less capable than men,feminists are extremists.,women are inferior,This sentence communicates the stereotype that feminists are overly concerned with equality to the point of irrationality,,,,,,,,,sbic
How many financially central towers can a book take down? Two in new york.,"[""terrorism victims""]",The stereotype communicated by this sentence is that people in finance are greedy,are a waste of money,The stereotype that this sentence communicates is that books are powerful,9/11 victims deserved it,,,,,,,,,sbic
"RT @TeGustaaa: If you suppose to be a man, don&#8217;t be a bitch.","[""men"", ""women""]",women are bitches,being feminine is shameful if you're a man,Men are expected to be tough and not show weakness or act in a cowardly manner,Men are expected to be strong and assertive,,,,,,,,,sbic
"I'm glad to hear about my brothers being ready to fight like that , lets just hope in the future these immigrants with no right will get something good enough so they 'll finally leave","[""black folks, asian folks, latino/latina folks, native american/first nation folks"", ""immigrants""]",immigrants are bad,The stereotype that this sentence communicates is that immigrants with no right will get something good enough so they 'll finally leave,The stereotype that this sentence communicates is that these immigrants with no right will get something good enough so they'll finally leave,The stereotype communicated by this sentence is that immigrants are lazy and unproductive,,,,,,,,,sbic
Dicks are basically ar-15s Only disabled kids whip em out in class,"[""mentally disabled folks"", ""physically disabled folks""]","The stereotype communicated by this sentence is that people in the group ""disabled kids"" are immature and lack social skills",disabled kids are ar-15s,The stereotype is that disabled kids are perverted and sexually active,don't have control of themselves,,,,,,,,,sbic
Ain't been on this hoe all day,"[""women""]",women are sex objects,African Americans are lazy,This sentence communicates the stereotype that black people are lazy,are a hoe,,,,,,,,,sbic
